observation_name	taxonomic_affiliation	I_06	I_15	I_20	I_27	I_34	I_42	I_48	II_06	II_13	II_22	II_27	II_34	II_41	II_48	III_06	III_13	III_20	III_27	III_34	IV_06	IV_13	IV_20	IV_27	IV_34	IV_41	IV_48	IV_55	sum
Cluster_65	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;MgMjR-022;unknown genus;unknown species	8	65	129	95	23	73	25	33	46	45	23	59	43	62	93	30	98	197	86	268	184	453	211	122	183	316	222	3192
Cluster_66	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;Multi-affiliation	12	37	99	79	123	162	75	60	43	26	11	33	10	32	29	10	55	23	64	37	71	58	74	33	57	65	85	1463
Cluster_67	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelatoclostridiaceae;UCG-004;unknown species	0	0	16	9	21	200	166	33	0	0	0	0	2	2	4	2	1	7	38	145	163	171	288	155	270	275	300	2268
Cluster_68	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila;unknown species	2	21	100	71	94	304	109	126	164	151	81	256	170	215	290	98	304	166	288	171	188	273	262	109	218	224	208	4663
Cluster_70	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;W27;unknown genus;unknown species	1	13	4	13	5	5	0	1	2	1	0	0	0	0	0	1	0	0	0	14	5	3	0	3	3	15	23	112
Cluster_71	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;unknown genus;metagenome	8	70	105	10	26	59	30	58	27	34	26	189	207	237	259	324	377	164	536	259	305	80	95	81	193	157	117	4033
Cluster_72	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 1;unknown species	16	25	88	84	99	151	62	57	31	27	15	30	13	33	27	19	43	33	68	38	81	89	100	48	69	91	92	1529
Cluster_73	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lapidilactobacillus;Multi-affiliation	0	0	1	1	0	0	0	0	0	1	0	1	1	1	6	1	6	5	37	9	5	8	145	61	101	170	527	1087
Cluster_74	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Lentimicrobiaceae;Lentimicrobium;Multi-affiliation	124	229	353	174	167	286	97	36	39	45	28	78	53	60	89	32	71	60	160	163	133	93	91	35	116	246	302	3360
Cluster_75	Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;unknown genus;unknown species	1	33	127	133	144	457	169	200	245	141	102	155	52	88	154	154	273	75	161	9	9	22	21	36	85	113	180	3339
Cluster_76	Bacteria;Firmicutes;unknown class;DTU014;unknown family;unknown genus;unknown species	59	61	104	61	39	154	59	83	64	128	146	480	363	178	125	154	265	109	628	41	67	38	0	0	0	1	0	3407
Cluster_77	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;unknown genus;unknown species	66	118	143	86	92	234	188	115	32	14	19	84	48	71	76	12	13	6	15	61	136	146	39	9	38	36	59	1956
Cluster_78	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;HN-HF0106;unknown species	26	62	167	55	66	98	33	116	167	242	176	466	159	225	127	84	119	49	177	49	47	62	29	31	86	167	156	3241
Cluster_79	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;unknown genus;unknown species	4	31	101	46	64	98	42	72	52	85	43	117	107	111	127	40	83	53	176	22	40	50	6	0	1	2	6	1579
Cluster_81	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Herbinix;unknown species	0	5	3	1	0	3	3	30	129	329	199	133	54	156	44	49	236	106	1050	8	27	23	18	13	3	17	63	2702
Cluster_82	Bacteria;Firmicutes;Clostridia;Oscillospirales;unknown family;unknown genus;unknown species	0	1	19	18	14	43	16	31	92	126	92	286	184	333	152	21	47	33	204	8	25	38	40	52	53	104	115	2147
Cluster_83	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;W27;unknown genus;unknown species	5	36	77	40	25	43	28	10	9	3	0	1	1	0	2	1	8	0	9	18	11	35	2	1	2	0	3	370
Cluster_84	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Latilactobacillus;Multi-affiliation	0	0	2	0	3	24	12	10	6	4	6	4	4	5	4	0	2	1	1	1	6	11	7	1	1	10	15	140
Cluster_85	Bacteria;Caldatribacteriota;Caldatribacteriia;Caldatribacteriales;Caldatribacteriaceae;Candidatus Caldatribacterium;unknown species	34	43	123	36	46	63	25	17	14	14	9	23	27	35	39	8	43	23	46	21	62	58	68	26	24	57	53	1037
Cluster_86	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Brooklawnia;Brooklawnia cerclae	0	4	8	3	3	0	3	2	4	20	19	55	55	131	67	38	157	100	207	90	186	93	101	31	58	28	26	1489
Cluster_87	Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;unknown species	0	0	0	0	0	0	0	0	0	14	2	1	0	3	3	0	0	0	0	3	8	143	1	0	1	3	2	184
Cluster_88	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;HN-HF0106;metagenome	40	89	243	143	168	340	78	156	145	161	80	61	83	80	176	65	57	51	66	65	59	59	33	14	47	119	67	2745
Cluster_89	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Fermentimonas;unknown species	0	12	129	52	113	230	71	163	136	44	25	42	23	17	26	9	31	13	28	16	21	13	68	51	22	8	11	1374
Cluster_90	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;Mariniphaga;unknown species	18	80	339	138	149	131	40	40	33	16	7	19	17	26	27	11	40	31	34	44	58	47	49	23	42	74	92	1625
Cluster_91	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Williamwhitmaniaceae;Blvii28 wastewater-sludge group;unknown species	0	24	74	35	13	15	13	13	8	2	3	9	11	3	5	2	2	0	0	2	4	9	2	7	5	15	10	286
Cluster_92	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;Leuconostoc carnosum	0	0	0	0	0	0	0	0	0	0	6	2	1	4	16	12	138	155	462	49	85	44	37	12	24	8	9	1064
Cluster_93	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;unknown genus;unknown species	73	68	247	79	70	165	48	41	71	47	13	172	68	355	32	43	26	41	24	231	163	28	123	90	101	198	118	2735
Cluster_94	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	7	15	55	42	44	62	40	41	42	23	23	49	55	91	70	51	125	114	157	35	99	103	114	34	14	27	28	1560
Cluster_95	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;M2PB4-65 termite group;unknown genus;unknown species	9	18	30	25	35	58	21	22	10	17	6	66	115	125	71	17	23	17	42	50	67	47	22	8	17	48	19	1005
Cluster_96	Bacteria;Bdellovibrionota;Oligoflexia;053A03-B-DI-P58;unknown family;unknown genus;unknown species	8	71	263	131	74	216	69	127	183	59	41	51	12	0	34	24	56	53	110	81	90	51	95	43	95	122	46	2205
Cluster_97	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;unknown genus;Multi-affiliation	3	117	172	54	55	45	27	43	21	53	27	40	31	44	77	12	35	34	53	76	69	133	40	14	12	30	17	1334
Cluster_98	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax;unknown species	13	57	110	66	56	115	62	25	17	21	7	12	5	5	6	3	6	4	7	11	13	31	11	2	7	4	12	688
Cluster_99	Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas wolfei	25	41	90	60	53	114	75	61	59	64	51	86	58	66	55	50	59	35	40	36	86	62	38	30	46	39	50	1529
Cluster_100	Bacteria;WPS-2;unknown class;unknown order;unknown family;unknown genus;Burkholderiales bacterium Beta_02	5	35	80	96	101	144	86	203	117	115	94	183	104	132	141	41	105	42	141	12	9	17	10	5	10	9	54	2091
Cluster_101	Archaea;Halobacterota;Methanosarcinia;Methanosarciniales;Methanosarcinaceae;Methanomethylovorans;unknown species	7	14	31	8	12	32	11	13	6	15	9	14	8	22	12	9	24	18	37	39	81	67	99	33	66	51	73	811
Cluster_102	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;unknown genus;Multi-affiliation	11	44	151	101	66	147	72	26	11	15	9	22	23	18	14	10	26	10	29	7	11	14	2	1	1	3	3	847
Cluster_103	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Multi-affiliation;Multi-affiliation	29	47	107	87	110	181	59	47	45	9	23	21	9	21	16	6	42	15	46	51	92	68	73	33	50	39	65	1391
Cluster_104	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Paludibacteraceae;unknown genus;Multi-affiliation	2	18	91	77	51	82	37	44	74	25	23	50	19	58	71	26	84	66	141	75	79	20	22	27	92	154	140	1648
Cluster_105	Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Loigolactobacillus;Lactobacillus coryniformis	0	0	0	0	0	0	0	0	0	1	0	6	5	22	35	7	40	34	116	11	17	12	19	9	20	33	49	436
Cluster_106	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Multi-affiliation	0	0	7	7	4	18	6	14	20	5	0	0	0	1	1	0	0	0	3	5	18	61	5	0	1	0	0	176
Cluster_107	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;Multi-affiliation	6	31	169	95	71	319	74	62	79	62	41	109	96	108	142	46	122	81	129	41	48	29	13	9	19	37	88	2126
Cluster_109	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Ruminofilibacter;Multi-affiliation	21	55	156	112	100	279	155	136	203	194	76	129	83	89	446	31	84	129	43	129	191	311	149	103	16	67	34	3521
Cluster_110	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;W5053;unknown species	6	13	81	54	52	62	15	12	10	20	26	59	63	198	161	52	178	167	307	83	180	120	148	73	106	167	304	2717
Cluster_111	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;W5053;unknown species	11	37	75	34	49	69	23	15	12	12	8	4	4	6	8	1	11	8	10	36	44	41	52	34	45	41	66	756
Cluster_112	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter;unknown species	32	34	97	36	30	89	32	37	75	105	93	186	213	291	223	126	358	127	302	21	33	27	7	6	4	9	6	2599
Cluster_114	Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;unknown genus;unknown species	3	38	93	65	58	101	54	20	19	14	12	7	3	3	2	1	5	2	6	4	7	18	2	1	1	8	2	549
Cluster_115	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;unknown species	31	20	30	6	5	6	1	4	2	2	1	3	1	3	5	10	8	3	13	89	22	11	39	7	18	12	19	371
Cluster_116	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;unknown species	24	91	96	31	24	65	28	13	28	32	6	34	16	38	89	24	39	41	30	116	65	83	53	25	20	56	63	1230
Cluster_117	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;unknown genus;unknown species	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	4	4	9	2	8	12	23	22	107	290	265	751
Cluster_118	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta;unknown species	8	20	56	12	6	20	15	9	4	8	6	9	6	5	7	5	7	5	8	7	9	13	2	1	2	5	5	260
Cluster_119	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Gallicola;Peptostreptococcaceae bacterium SK031	1	41	116	57	79	128	37	35	19	6	8	18	16	22	14	10	12	15	32	29	30	21	24	11	20	19	14	834
Cluster_120	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter;unknown species	6	55	125	113	88	132	44	21	20	4	1	4	1	2	2	1	4	2	5	11	20	8	4	8	9	5	11	706
Cluster_121	Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;Syntrophomonas;unknown species	14	25	112	67	46	198	73	55	25	28	30	65	24	19	42	43	79	36	77	76	90	51	48	29	37	80	70	1539
Cluster_122	Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;ST-12K33;unknown genus;metagenome	119	169	714	209	202	566	303	121	84	36	15	8	3	6	11	11	10	17	22	136	88	45	16	11	19	45	11	2997
