observation_name	taxonomic_affiliation	I_06	I_15	I_20	I_27	I_34	I_42	I_48	II_06	II_13	II_22	II_27	II_34	II_41	II_48	III_06	III_13	III_20	III_27	III_34	IV_06	IV_13	IV_20	IV_27	IV_34	IV_41	IV_48	IV_55	sum
Cluster_264	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;Cloacimonadaceae;W5;unknown species	0	0	0	0	1	0	1	1	1	1	2	9	8	25	19	7	27	18	26	3	14	7	6	3	16	14	15	224
Cluster_265	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;unknown species	21	68	230	55	33	63	22	23	17	18	14	23	6	10	6	0	3	2	8	10	10	7	10	6	3	3	6	677
Cluster_266	Bacteria;Firmicutes;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;unknown genus;unknown species	13	26	32	4	3	2	2	1	0	0	0	0	0	1	0	0	0	0	0	11	13	21	26	18	12	7	5	197
Cluster_267	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pir4 lineage;unknown species	0	9	29	14	19	35	14	7	6	8	7	18	10	17	18	7	13	7	30	14	17	16	14	5	7	16	19	376
Cluster_269	Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;unknown genus;unknown species	1	0	0	0	0	9	17	5	10	6	6	8	0	0	0	0	0	1	5	19	24	19	18	7	16	9	11	191
Cluster_270	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;Cloacimonadaceae;Candidatus Cloacimonas;unknown species	1	0	0	1	0	2	0	2	0	1	3	29	25	46	37	4	65	14	53	4	24	15	18	3	23	39	37	446
Cluster_271	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;Papillibacter;unknown species	5	13	52	17	16	52	20	10	18	8	4	10	6	8	25	2	4	5	6	10	16	6	11	2	14	24	17	381
Cluster_272	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;Multi-affiliation	0	0	5	12	10	21	1	4	5	4	2	6	1	2	3	1	0	0	0	6	4	1	1	3	11	11	13	127
Cluster_275	Bacteria;Firmicutes;Clostridia;Eubacteriales;Garciellaceae;Irregularibacter;unknown species	8	12	31	28	40	82	33	18	19	9	8	9	1	5	1	0	1	0	2	5	2	10	4	3	2	6	7	346
Cluster_277	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;Multi-affiliation	1	10	8	4	3	6	0	28	2	1	0	0	0	0	0	1	1	0	0	2	25	6	2	2	0	12	1	115
Cluster_278	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;unknown species	2	19	19	29	19	28	5	8	4	1	2	0	0	2	0	2	1	0	2	5	4	3	2	0	3	1	5	166
Cluster_279	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;unknown genus;unknown species	1	19	37	24	39	38	13	6	4	6	2	0	1	2	1	0	0	0	2	2	1	7	2	2	4	4	1	218
Cluster_280	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;Cloacimonadaceae;W5;unknown species	0	0	0	0	1	0	0	2	0	1	1	5	11	19	10	4	20	16	25	6	9	9	10	2	12	12	17	192
Cluster_281	Bacteria;Firmicutes;Clostridia;unknown order;Gracilibacteraceae;Lutispora;unknown species	1	13	25	14	22	17	5	5	6	1	2	5	5	4	5	0	6	2	18	10	13	11	5	3	3	15	10	226
Cluster_282	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;unknown genus;Erysipelotrichaceae bacterium canine oral taxon 302	0	0	0	0	0	0	0	0	0	1	9	20	17	36	32	11	27	25	46	6	5	2	7	1	3	4	0	252
Cluster_283	Bacteria;Desulfobacterota;Syntrophia;Syntrophales;Smithellaceae;Smithella;unknown species	14	19	2	2	0	0	0	1	1	5	3	12	8	6	16	13	35	17	48	0	0	0	0	0	0	0	0	202
Cluster_284	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;Cloacimonadaceae;W5;unknown species	0	0	0	0	1	0	0	0	0	2	3	12	16	22	21	5	17	17	28	2	9	9	11	7	14	27	15	238
Cluster_286	Bacteria;Caldatribacteriota;JS1;unknown order;unknown family;unknown genus;unknown species	8	20	28	16	7	20	2	3	4	4	3	8	3	6	2	3	5	2	3	1	1	5	3	4	2	4	6	173
Cluster_288	Bacteria;Firmicutes;Bacilli;Izemoplasmatales;unknown family;unknown genus;unknown species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	148	90	77	74	109	12	6	592
Cluster_287	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	0	6	3	5	5	13	7	3	7	6	8	22	27	23	18	8	28	21	55	15	39	36	39	23	34	24	30	505
Cluster_289	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	0	24	43	26	21	54	29	12	7	10	3	12	9	18	10	2	19	9	39	5	10	3	2	1	1	4	4	377
Cluster_292	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Selenomonadaceae;unknown genus;unknown species	0	0	0	0	0	0	0	0	0	0	1	0	0	0	6	37	13	119	55	19	2	2	1	0	1	0	0	256
Cluster_293	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;unknown genus;Multi-affiliation	2	6	38	20	23	49	20	21	25	9	5	13	4	4	1	2	0	1	0	4	9	3	8	3	3	2	1	276
Cluster_294	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Tissierella;unknown species	3	10	49	31	25	38	6	9	9	1	3	0	0	4	0	1	0	0	0	4	5	6	3	2	2	0	5	216
Cluster_295	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;unknown genus;Multi-affiliation	1	4	6	7	9	26	6	20	15	2	2	3	1	2	0	0	0	1	1	2	4	2	8	0	1	2	1	126
Cluster_299	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Gallicola;Peptostreptococcaceae bacterium SK031	0	6	15	10	14	24	5	5	9	0	0	3	2	4	2	0	3	2	3	5	2	4	2	0	1	0	1	122
Cluster_303	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;unknown species	9	26	34	12	4	19	6	2	6	7	3	9	6	4	4	4	11	14	15	10	22	20	19	12	6	5	4	293
Cluster_302	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila;unknown species	11	13	106	34	18	68	13	4	7	6	5	8	5	4	0	1	4	0	4	5	10	5	8	3	6	16	15	379
Cluster_305	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;unknown genus;unknown species	0	10	14	2	0	7	0	0	0	0	0	0	4	1	6	31	12	15	3	17	8	1	30	31	23	139	54	408
Cluster_306	Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;unknown genus;unknown species	12	22	36	11	8	27	8	8	4	3	2	3	3	1	2	1	3	3	23	3	2	1	1	1	0	4	6	198
Cluster_309	Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Pelotomaculaceae;Pelotomaculum;unknown species	0	2	3	4	26	74	26	28	25	18	21	41	40	33	20	4	16	10	16	0	0	3	0	0	0	0	0	410
Cluster_308	Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanocorpusculaceae;Methanocorpusculum;unknown species	6	7	29	11	6	48	15	22	13	10	13	27	10	13	19	12	20	6	34	13	6	8	1	2	1	4	5	361
Cluster_311	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;Multi-affiliation	11	43	91	54	31	52	22	14	10	4	3	5	9	5	3	2	5	2	6	3	6	7	1	2	2	3	7	403
Cluster_312	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Candidatus Soleaferrea;unknown species	0	1	30	23	17	31	18	11	4	15	11	29	57	37	5	4	7	4	12	4	3	6	1	1	7	2	16	356
Cluster_316	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter;unknown species	3	5	15	10	4	12	5	13	16	23	25	34	41	66	68	24	57	23	72	6	8	5	1	0	3	1	4	544
Cluster_318	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prolixibacteraceae;unknown genus;unknown species	6	14	21	10	22	61	30	24	19	10	2	2	0	1	4	4	12	8	13	5	3	8	10	4	10	23	10	336
Cluster_320	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Tissierella;unknown species	1	9	47	28	25	93	20	2	4	0	1	0	0	1	0	0	1	0	3	2	0	2	0	0	0	1	2	242
Cluster_321	Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;unknown family;Tepidanaerobacter;unknown species	4	5	16	2	3	6	1	0	1	2	0	1	0	0	1	2	10	2	7	5	4	0	10	6	15	34	34	171
Cluster_323	Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;unknown species	4	15	20	20	15	39	12	9	33	26	25	12	8	19	8	6	13	4	10	10	6	7	2	3	3	4	3	336
Cluster_322	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae XPB1014 group;unknown species	4	8	13	11	14	28	8	4	3	0	1	2	0	3	0	0	1	0	3	3	3	4	1	0	1	2	3	120
Cluster_326	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium sensu stricto 8;unknown species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	13	1	0	5	2	7	88	43	160
Cluster_327	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidales UCG-001;unknown genus;unknown species	8	40	52	17	1	16	9	0	1	0	0	0	1	1	3	0	1	1	0	3	1	8	0	0	0	0	2	165
Cluster_328	Bacteria;Thermotogota;Thermotogae;Petrotogales;Petrotogaceae;SC103;metagenome	34	37	68	29	21	22	7	4	2	2	1	0	0	0	1	2	1	4	7	23	34	32	27	7	13	26	12	416
Cluster_331	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;unknown species	2	5	7	3	3	5	2	2	2	5	2	7	8	10	7	6	16	10	22	4	8	6	8	5	5	12	11	183
Cluster_333	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;metagenome	0	1	0	0	0	0	0	0	2	2	1	11	19	19	26	16	47	38	69	11	7	15	19	21	35	73	69	501
Cluster_334	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Ruminofilibacter;Multi-affiliation	2	2	10	5	3	18	5	5	9	13	6	5	8	12	27	3	4	5	0	5	10	12	8	10	1	1	2	191
Cluster_336	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Peptostreptococcaceae;Intestinibacter;unknown species	3	10	31	20	30	53	26	11	9	5	3	7	3	9	7	2	13	1	18	4	23	10	23	4	19	15	21	380
Cluster_337	Bacteria;Cloacimonadota;Cloacimonadia;Cloacimonadales;Cloacimonadaceae;W5;unknown species	2	0	0	0	0	1	0	1	0	2	2	11	15	24	14	8	22	20	32	1	26	6	6	4	20	27	25	269
Cluster_338	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;unknown species	1	11	16	6	4	42	4	18	18	38	23	49	31	41	22	16	16	14	2	35	13	4	27	1	3	66	9	530
Cluster_340	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;Multi-affiliation	1	3	14	10	6	8	8	10	13	7	5	20	18	32	35	27	67	54	83	6	24	23	37	23	30	69	72	705
Cluster_342	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;unknown genus;unknown species	2	1	15	1	0	2	0	0	0	0	0	0	1	34	26	30	69	19	47	6	7	14	11	13	13	23	49	383
Cluster_343	Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;Syntrophomonas;unknown species	1	23	39	22	13	11	3	4	1	3	1	0	0	0	0	0	0	1	0	1	1	3	2	2	2	4	4	141
Cluster_349	Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas formosensis	10	41	65	22	24	36	8	2	1	0	0	1	0	0	0	0	1	0	1	2	1	0	0	0	0	0	0	215
Cluster_348	Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;unknown genus;unknown species	0	0	0	0	0	1	1	10	33	34	22	37	51	30	49	0	4	5	12	4	5	6	2	6	6	10	13	341
Cluster_351	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Sphaerochaeta;unknown species	12	17	29	5	7	6	2	0	1	3	2	3	1	0	3	0	1	1	1	9	5	11	2	2	2	3	1	129
Cluster_350	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;unknown genus;unknown species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	396	11	5	1	0	0	0	0	0	413
Cluster_352	Bacteria;Firmicutes;Thermovenabulia;Thermovenabulales;unknown family;Tepidanaerobacter;unknown species	0	9	13	5	1	13	11	8	13	12	10	3	3	5	0	0	6	2	6	6	1	6	4	6	14	25	19	201
Cluster_354	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;HN-HF0106;unknown species	10	2	3	0	0	5	2	3	6	7	4	2	3	1	55	1	9	10	2	11	10	27	7	1	3	6	2	192
Cluster_356	Bacteria;Firmicutes;Bacilli;RF39;unknown family;unknown genus;unknown species	3	5	16	7	14	28	22	8	31	11	2	0	1	5	1	0	0	3	3	3	4	7	7	2	1	3	3	190
Cluster_357	Bacteria;Firmicutes;Clostridia;Eubacteriales;Eubacteriaceae;Acetobacterium;unknown species	1	9	21	12	12	22	15	3	1	2	0	1	2	5	0	0	2	1	6	0	1	5	1	1	1	1	1	126
Cluster_358	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Anaerovorax;unknown species	4	16	24	20	5	26	12	13	4	2	1	5	0	0	1	1	1	0	3	1	1	4	1	0	0	1	1	147
Cluster_360	Bacteria;Planctomycetota;Phycisphaerae;CCM11a;unknown family;unknown genus;bacterium enrichment culture clone E27	3	56	78	19	4	6	2	0	0	0	0	0	0	0	0	0	0	0	0	6	4	5	10	1	0	2	2	198
Cluster_359	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;Multi-affiliation	1	13	73	36	36	109	26	29	26	25	8	43	32	44	43	25	50	38	60	18	17	22	11	9	15	20	18	847
Cluster_361	Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobacterium;unknown species	0	0	1	1	1	10	2	9	7	4	10	15	1	9	15	4	13	30	57	29	39	23	32	24	24	45	21	426
Cluster_362	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;Multi-affiliation	76	4	17	7	4	6	4	2	2	4	2	9	11	6	1	1	7	0	6	6	2	2	3	0	0	1	2	185
Cluster_364	Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;p-1088-a5 gut group;unknown species	0	9	72	39	50	84	29	11	8	4	4	14	1	4	4	0	3	4	7	5	2	1	7	0	3	8	3	376
Cluster_365	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;unknown species	1	8	28	14	5	21	5	7	2	0	1	0	1	0	6	2	17	9	41	4	4	4	1	0	0	2	0	183
Cluster_366	Bacteria;Firmicutes;Clostridia;unknown order;unknown family;unknown genus;unknown species	2	9	14	5	9	36	17	12	16	16	6	15	1	0	3	1	3	10	6	4	2	3	2	0	0	0	0	192
Cluster_367	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;Multi-affiliation	7	5	22	17	9	33	6	4	6	5	4	17	16	9	15	5	25	12	13	6	11	4	4	5	2	4	11	277
Cluster_369	Bacteria;Chloroflexi;Anaerolineae;RBG-13-54-9;unknown family;unknown genus;unknown species	0	1	4	11	11	19	10	20	14	7	7	8	11	14	9	1	8	1	20	3	14	6	8	11	8	8	4	238
Cluster_370	Bacteria;Thermotogota;Thermotogae;Kosmotogales;Kosmotogaceae;Mesotoga;Mesotoga infera	12	8	21	2	6	1	1	1	2	2	0	0	1	1	7	1	6	6	19	26	21	10	8	2	3	6	3	176
Cluster_375	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17;unknown genus;unknown species	1	0	4	1	5	10	2	3	5	3	0	5	1	10	5	3	16	10	18	1	5	1	2	1	3	10	11	136
Cluster_374	Archaea;Halobacterota;Methanomicrobia;Methanomicrobiales;Methanospirillaceae;Methanospirillum;unknown species	1	0	4	1	3	10	5	5	8	21	21	19	14	36	60	11	25	1	8	1	2	9	1	0	0	1	1	268
Cluster_376	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;Tissierella;unknown species	0	8	12	11	4	18	4	6	8	1	1	2	0	0	2	0	1	1	1	2	4	4	2	3	12	6	12	125
Cluster_378	Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Multi-affiliation;Multi-affiliation	5	13	21	31	29	39	12	16	9	6	5	4	1	9	4	1	4	1	13	16	27	13	40	11	22	15	22	389
Cluster_379	Bacteria;Firmicutes;Moorellia;Desulfitibacterales;Desulfitibacteraceae;Desulfitibacter;unknown species	23	66	77	15	15	11	6	5	1	0	1	5	2	1	0	0	2	0	0	2	5	4	1	0	2	4	2	250
Cluster_382	Bacteria;Actinobacteriota;Actinobacteria;Actinomycetales;Actinomycetaceae;Actinomyces;Gleimia europaea	17	12	20	5	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	32	72	50	53	9	15	18	13	324
Cluster_383	Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;Syntrophomonas;unknown species	0	2	3	1	2	4	0	0	0	0	0	0	1	0	0	2	19	12	23	28	44	11	8	1	1	7	15	184
Cluster_384	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;HN-HF0106;metagenome	0	1	15	1	1	1	1	2	0	1	0	2	0	0	1	0	0	0	1	5	40	43	34	18	6	12	5	190
Cluster_388	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinilabiliaceae;Ruminofilibacter;Multi-affiliation	3	11	24	13	28	60	26	27	41	41	10	27	18	19	91	8	15	23	11	39	39	85	31	22	5	48	24	789
Cluster_387	Bacteria;Firmicutes;unknown class;unknown order;unknown family;Gelria;unknown species	2	2	3	5	0	1	1	0	1	2	0	0	1	1	2	0	0	1	7	5	13	5	12	8	14	16	11	113
Cluster_386	Bacteria;Firmicutes;Desulfitobacteriia;Desulfitobacteriales;Syntrophobotulaceae;Dehalobacter;unknown species	0	0	0	0	0	0	0	1	1	1	5	11	14	18	9	10	28	23	9	1	1	2	0	1	1	1	3	140
Cluster_390	Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;unknown species	2	4	18	37	12	30	16	1	1	4	0	3	3	1	5	0	0	1	2	5	7	11	3	1	6	7	6	186
Cluster_393	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;unknown genus;unknown species	0	11	24	4	1	29	0	2	4	3	1	13	19	9	8	0	5	5	1	2	4	2	6	9	8	23	23	216
Cluster_397	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;HN-HF0106;metagenome	5	10	28	16	11	38	10	14	5	3	3	0	0	1	1	0	0	2	5	6	3	11	1	1	2	8	7	191
Cluster_399	Bacteria;Armatimonadota;unknown class;unknown order;unknown family;unknown genus;unknown species	3	9	4	2	0	0	0	0	0	0	0	5	5	9	6	7	13	9	20	4	5	8	9	4	5	8	16	151
Cluster_401	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;Multi-affiliation	0	11	33	25	21	42	19	12	10	11	4	6	7	9	17	7	12	13	42	10	8	13	4	3	4	16	14	373
Cluster_404	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;ADurb.Bin120;Brevefilum fermentans	6	22	67	21	13	33	14	9	2	6	3	3	6	5	3	5	7	6	16	17	24	18	33	15	12	32	25	423
Cluster_408	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Erysipelothrix;unknown species	0	4	29	22	17	19	6	3	3	0	0	1	2	0	1	0	0	2	3	0	0	0	3	0	1	1	1	118
Cluster_415	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Family XI;unknown genus;unknown species	1	7	24	2	3	25	7	8	5	1	2	1	2	1	6	5	0	2	8	18	11	2	10	11	3	28	10	203
Cluster_413	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Dysgonomonadaceae;Proteiniphilum;unknown species	1	9	22	24	13	22	7	8	2	2	0	0	0	2	1	0	1	0	2	0	2	3	0	0	1	0	3	125
Cluster_416	Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;Syntrophomonas;Syntrophomonas wolfei	0	1	1	3	2	0	0	1	0	0	0	0	0	0	1	0	14	10	22	17	40	52	35	12	24	8	7	250
Cluster_420	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;unknown species	0	0	2	1	1	10	4	3	15	4	3	7	6	8	1	6	8	17	19	7	26	10	20	8	19	24	17	246
Cluster_419	Bacteria;Firmicutes;Dethiobacteria;Dethiobacterales;Dethiobacteraceae;Dethiobacter;anaerobic digester metagenome	8	16	21	11	5	8	2	1	1	0	0	4	3	3	4	6	8	8	8	9	5	6	2	0	0	0	0	139
Cluster_418	Bacteria;Firmicutes;unknown class;unknown order;unknown family;unknown genus;unknown species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	45	24	86	27	208
Cluster_427	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter;unknown species	3	2	6	1	2	10	6	5	12	11	4	22	14	7	3	5	9	3	10	0	1	0	0	0	0	1	0	137
Cluster_426	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Cellulosilyticum;unknown species	4	3	16	10	14	20	5	8	8	2	2	7	3	6	9	1	2	1	12	12	13	8	14	5	6	5	7	203
Cluster_433	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostignum;Anaerotignum aminivorans	8	37	23	2	1	2	0	55	116	21	6	9	3	3	13	4	4	12	13	0	0	1	0	0	0	0	0	333
Cluster_429	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Fastidiosipila;unknown species	5	26	80	47	37	89	21	19	20	11	8	7	4	5	5	3	7	5	8	5	13	14	12	4	14	13	21	503
Cluster_432	Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;Anaerolineaceae;unknown genus;Multi-affiliation	2	16	22	8	5	10	3	3	5	3	3	1	4	3	1	0	2	4	0	8	14	8	15	3	1	3	0	147
Cluster_430	Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;unknown genus;unknown species	4	9	29	10	8	33	6	14	18	26	14	28	22	26	18	18	44	31	36	12	19	13	14	10	17	23	15	517
Cluster_435	Archaea;Nanoarchaeota;Nanoarchaeia;Woesearchaeales;unknown family;unknown genus;unknown species	0	0	0	0	0	0	0	0	0	0	0	0	1	11	16	23	108	23	103	1	0	3	0	0	0	0	0	289
Cluster_441	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Sedimentibacteraceae;Sedimentibacter;unknown species	4	5	44	21	7	38	17	8	21	31	15	21	9	26	11	0	7	0	9	7	18	5	10	3	5	11	6	359
Cluster_442	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;unknown genus;unknown species	2	10	20	4	6	5	3	6	3	0	7	8	11	9	5	5	3	5	17	2	7	10	1	2	0	6	4	161
Cluster_440	Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Bogoriellaceae;Georgenia;unknown species	0	3	16	18	10	19	3	6	4	3	2	3	1	1	1	0	3	1	1	3	2	1	7	1	3	4	1	117
Cluster_449	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;Multi-affiliation	2	3	9	2	0	18	3	4	4	5	5	9	7	11	10	5	6	4	10	3	2	0	1	1	0	2	5	131
Cluster_455	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;unknown family;Alkaliphilus;unknown species	3	8	10	10	4	19	1	1	1	1	2	0	0	1	0	0	0	1	0	2	2	5	25	10	5	2	36	149
Cluster_452	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;PeH15;unknown genus;unknown species	3	7	21	13	10	25	14	3	4	5	1	0	2	1	2	2	1	1	11	8	5	5	2	3	8	6	3	166
Cluster_453	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidetes vadinHA17;unknown genus;unknown species	3	7	13	4	5	14	3	2	5	1	1	4	2	2	2	1	8	1	2	2	8	9	7	9	10	14	13	152
Cluster_461	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Rikenellaceae;DMER64;unknown species	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	2	14	8	57	13	13	6	3	2	0	2	0	125
Cluster_460	Bacteria;Firmicutes;Clostridia;Oscillospirales;UCG-010;unknown genus;bacterium enrichment culture clone BBMC-9	0	1	69	31	18	38	19	9	11	9	6	11	6	0	0	0	1	0	1	3	4	4	2	2	1	2	0	248
Cluster_462	Bacteria;Firmicutes;Limnochordia;MBA03;unknown family;unknown genus;unknown species	13	58	150	63	52	150	48	27	13	10	19	34	28	10	7	6	18	5	28	29	23	14	3	0	1	0	1	810
Cluster_463	Bacteria;Firmicutes;Limnochordia;MBA03;unknown family;unknown genus;Multi-affiliation	2	50	121	50	22	82	38	16	9	6	4	4	2	0	1	1	0	0	2	9	16	4	0	0	0	0	0	439
Cluster_465	Bacteria;Firmicutes;Clostridia;Caldicoprobacterales;Caldicoprobacteraceae;Caldicoprobacter;unknown species	2	4	12	7	2	12	3	4	2	8	2	3	4	1	4	1	1	0	2	14	3	4	15	8	13	8	13	152
Cluster_472	Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propioniciclava;Multi-affiliation	0	4	14	8	17	19	13	6	8	2	1	2	1	4	2	0	0	0	0	2	1	1	0	2	1	1	4	113
Cluster_469	Bacteria;Firmicutes;Clostridia;unknown order;Gracilibacteraceae;Lutispora;unknown species	3	5	29	13	16	18	16	12	5	14	4	6	0	0	0	0	0	0	0	1	6	1	6	4	6	4	8	177
Cluster_470	Bacteria;Firmicutes;Syntrophomonadia;Syntrophomonadales;Syntrophomonadaceae;unknown genus;unknown species	0	0	0	1	1	3	3	1	3	4	4	14	16	13	13	11	21	8	15	4	13	9	24	37	67	110	125	520
Cluster_482	Bacteria;Firmicutes;Clostridia;Oscillospirales;[Eubacterium] coprostanoligenes group;unknown genus;unknown species	12	21	43	5	0	5	8	5	8	2	1	0	0	2	1	1	0	1	1	2	0	0	0	0	0	0	0	118
